key,value,date
los-gigantes-de-la-era-del-hielo,0,2015-07-01
los-gigantes-de-la-era-del-hielo,0,2015-08-01
los-gigantes-de-la-era-del-hielo,0,2015-09-01
los-gigantes-de-la-era-del-hielo,0,2015-10-01
los-gigantes-de-la-era-del-hielo,0,2015-11-01
los-gigantes-de-la-era-del-hielo,0,2015-12-01
los-gigantes-de-la-era-del-hielo,0,2016-01-01
los-gigantes-de-la-era-del-hielo,0,2016-02-01
los-gigantes-de-la-era-del-hielo,0,2016-03-01
los-gigantes-de-la-era-del-hielo,0,2016-04-01
los-gigantes-de-la-era-del-hielo,306,2016-05-01
los-gigantes-de-la-era-del-hielo,408,2016-06-01
los-gigantes-de-la-era-del-hielo,102,2016-07-01
los-gigantes-de-la-era-del-hielo,0,2016-08-01
los-gigantes-de-la-era-del-hielo,362,2016-09-01
los-gigantes-de-la-era-del-hielo,30,2016-10-01
cuerpo-a-cuerpo,0,2013-05-01
cuerpo-a-cuerpo,0,2013-06-01
cuerpo-a-cuerpo,0,2013-07-01
cuerpo-a-cuerpo,0,2013-08-01
cuerpo-a-cuerpo,0,2013-09-01
cuerpo-a-cuerpo,0,2013-10-01
cuerpo-a-cuerpo,0,2013-11-01
cuerpo-a-cuerpo,0,2013-12-01
cuerpo-a-cuerpo,0,2014-01-01
cuerpo-a-cuerpo,0,2014-02-01
cuerpo-a-cuerpo,0,2014-03-01
cuerpo-a-cuerpo,0,2014-04-01
cuerpo-a-cuerpo,0,2014-05-01
cuerpo-a-cuerpo,0,2014-06-01
cuerpo-a-cuerpo,0,2014-07-01
cuerpo-a-cuerpo,0,2014-08-01
cuerpo-a-cuerpo,0,2014-09-01
cuerpo-a-cuerpo,0,2014-10-01
cuerpo-a-cuerpo,0,2014-11-01
cuerpo-a-cuerpo,0,2014-12-01
cuerpo-a-cuerpo,0,2015-01-01
cuerpo-a-cuerpo,0,2015-02-01
cuerpo-a-cuerpo,0,2015-03-01
cuerpo-a-cuerpo,0,2015-04-01
cuerpo-a-cuerpo,0,2015-05-01
cuerpo-a-cuerpo,0,2015-06-01
cuerpo-a-cuerpo,0,2015-07-01
cuerpo-a-cuerpo,0,2015-08-01
cuerpo-a-cuerpo,0,2015-09-01
cuerpo-a-cuerpo,0,2015-10-01
cuerpo-a-cuerpo,27,2015-11-01
cuerpo-a-cuerpo,0,2015-12-01
cuerpo-a-cuerpo,0,2016-01-01
cuerpo-a-cuerpo,0,2016-02-01
cuerpo-a-cuerpo,209,2016-03-01
cuerpo-a-cuerpo,330,2016-04-01
cuerpo-a-cuerpo,428,2016-05-01
cuerpo-a-cuerpo,349,2016-06-01
cuerpo-a-cuerpo,430,2016-07-01
cuerpo-a-cuerpo,398,2016-08-01
cuerpo-a-cuerpo,38,2016-09-01
cuerpo-a-cuerpo,0,2016-10-01
costas-de-australia,0,2013-05-01
costas-de-australia,0,2013-06-01
costas-de-australia,0,2013-07-01
costas-de-australia,0,2013-08-01
costas-de-australia,0,2013-09-01
costas-de-australia,0,2013-10-01
costas-de-australia,0,2013-11-01
costas-de-australia,0,2013-12-01
costas-de-australia,0,2014-01-01
costas-de-australia,0,2014-02-01
costas-de-australia,0,2014-03-01
costas-de-australia,0,2014-04-01
costas-de-australia,0,2014-05-01
costas-de-australia,0,2014-06-01
costas-de-australia,0,2014-07-01
costas-de-australia,0,2014-08-01
costas-de-australia,0,2014-09-01
costas-de-australia,0,2014-10-01
costas-de-australia,0,2014-11-01
costas-de-australia,0,2014-12-01
costas-de-australia,0,2015-01-01
costas-de-australia,0,2015-02-01
costas-de-australia,0,2015-03-01
costas-de-australia,0,2015-04-01
costas-de-australia,0,2015-05-01
costas-de-australia,0,2015-06-01
costas-de-australia,0,2015-07-01
costas-de-australia,0,2015-08-01
costas-de-australia,0,2015-09-01
costas-de-australia,0,2015-10-01
costas-de-australia,0,2015-11-01
costas-de-australia,0,2015-12-01
costas-de-australia,0,2016-01-01
costas-de-australia,0,2016-02-01
costas-de-australia,0,2016-03-01
costas-de-australia,0,2016-04-01
costas-de-australia,0,2016-05-01
costas-de-australia,0,2016-06-01
costas-de-australia,0,2016-07-01
costas-de-australia,533,2016-08-01
costas-de-australia,406,2016-09-01
costas-de-australia,502,2016-10-01
claves-de-lectura,142,2013-05-01
claves-de-lectura,142,2013-06-01
claves-de-lectura,0,2013-07-01
claves-de-lectura,213,2013-08-01
claves-de-lectura,121,2013-09-01
claves-de-lectura,0,2013-10-01
claves-de-lectura,206,2013-11-01
claves-de-lectura,142,2013-12-01
claves-de-lectura,71,2014-01-01
claves-de-lectura,0,2014-02-01
claves-de-lectura,0,2014-03-01
claves-de-lectura,0,2014-04-01
claves-de-lectura,0,2014-05-01
claves-de-lectura,68,2014-06-01
claves-de-lectura,0,2014-07-01
claves-de-lectura,0,2014-08-01
claves-de-lectura,0,2014-09-01
claves-de-lectura,0,2014-10-01
claves-de-lectura,0,2014-11-01
claves-de-lectura,0,2014-12-01
claves-de-lectura,36,2015-01-01
claves-de-lectura,0,2015-02-01
claves-de-lectura,0,2015-03-01
claves-de-lectura,0,2015-04-01
claves-de-lectura,0,2015-05-01
claves-de-lectura,0,2015-06-01
claves-de-lectura,0,2015-07-01
claves-de-lectura,172,2015-08-01
claves-de-lectura,215,2015-09-01
claves-de-lectura,172,2015-10-01
claves-de-lectura,172,2015-11-01
claves-de-lectura,215,2015-12-01
claves-de-lectura,232,2016-01-01
claves-de-lectura,172,2016-02-01
claves-de-lectura,160,2016-03-01
claves-de-lectura,172,2016-04-01
claves-de-lectura,215,2016-05-01
claves-de-lectura,136,2016-06-01
claves-de-lectura,240,2016-07-01
claves-de-lectura,383,2016-08-01
claves-de-lectura,0,2016-09-01
claves-de-lectura,0,2016-10-01
anos-decisivos,0,2013-05-01
anos-decisivos,0,2013-06-01
anos-decisivos,0,2013-07-01
anos-decisivos,0,2013-08-01
anos-decisivos,0,2013-09-01
anos-decisivos,50,2013-10-01
anos-decisivos,0,2013-11-01
anos-decisivos,92,2013-12-01
anos-decisivos,0,2014-01-01
anos-decisivos,0,2014-02-01
anos-decisivos,0,2014-03-01
anos-decisivos,184,2014-04-01
anos-decisivos,173,2014-05-01
anos-decisivos,144,2014-06-01
anos-decisivos,0,2014-07-01
anos-decisivos,0,2014-08-01
anos-decisivos,0,2014-09-01
anos-decisivos,0,2014-10-01
anos-decisivos,0,2014-11-01
anos-decisivos,36,2014-12-01
anos-decisivos,36,2015-01-01
anos-decisivos,0,2015-02-01
anos-decisivos,0,2015-03-01
anos-decisivos,0,2015-04-01
anos-decisivos,0,2015-05-01
anos-decisivos,0,2015-06-01
anos-decisivos,0,2015-07-01
anos-decisivos,0,2015-08-01
anos-decisivos,0,2015-09-01
anos-decisivos,43,2015-10-01
anos-decisivos,0,2015-11-01
anos-decisivos,0,2015-12-01
anos-decisivos,0,2016-01-01
anos-decisivos,0,2016-02-01
anos-decisivos,43,2016-03-01
anos-decisivos,157,2016-04-01
anos-decisivos,337,2016-05-01
anos-decisivos,430,2016-06-01
anos-decisivos,344,2016-07-01
anos-decisivos,430,2016-08-01
anos-decisivos,0,2016-09-01
anos-decisivos,0,2016-10-01
ensamblados-los-instrumentos-de-la,0,2013-05-01
ensamblados-los-instrumentos-de-la,0,2013-06-01
ensamblados-los-instrumentos-de-la,0,2013-07-01
ensamblados-los-instrumentos-de-la,0,2013-08-01
ensamblados-los-instrumentos-de-la,0,2013-09-01
ensamblados-los-instrumentos-de-la,0,2013-10-01
ensamblados-los-instrumentos-de-la,0,2013-11-01
ensamblados-los-instrumentos-de-la,0,2013-12-01
ensamblados-los-instrumentos-de-la,0,2014-01-01
ensamblados-los-instrumentos-de-la,0,2014-02-01
ensamblados-los-instrumentos-de-la,0,2014-03-01
ensamblados-los-instrumentos-de-la,0,2014-04-01
ensamblados-los-instrumentos-de-la,0,2014-05-01
ensamblados-los-instrumentos-de-la,0,2014-06-01
ensamblados-los-instrumentos-de-la,0,2014-07-01
ensamblados-los-instrumentos-de-la,0,2014-08-01
ensamblados-los-instrumentos-de-la,0,2014-09-01
ensamblados-los-instrumentos-de-la,0,2014-10-01
ensamblados-los-instrumentos-de-la,0,2014-11-01
ensamblados-los-instrumentos-de-la,0,2014-12-01
ensamblados-los-instrumentos-de-la,0,2015-01-01
ensamblados-los-instrumentos-de-la,0,2015-02-01
ensamblados-los-instrumentos-de-la,0,2015-03-01
ensamblados-los-instrumentos-de-la,0,2015-04-01
ensamblados-los-instrumentos-de-la,0,2015-05-01
ensamblados-los-instrumentos-de-la,0,2015-06-01
ensamblados-los-instrumentos-de-la,0,2015-07-01
ensamblados-los-instrumentos-de-la,0,2015-08-01
ensamblados-los-instrumentos-de-la,0,2015-09-01
ensamblados-los-instrumentos-de-la,0,2015-10-01
ensamblados-los-instrumentos-de-la,172,2015-11-01
ensamblados-los-instrumentos-de-la,268,2015-12-01
ensamblados-los-instrumentos-de-la,232,2016-01-01
ensamblados-los-instrumentos-de-la,172,2016-02-01
ensamblados-los-instrumentos-de-la,129,2016-03-01
ensamblados-los-instrumentos-de-la,172,2016-04-01
ensamblados-los-instrumentos-de-la,215,2016-05-01
ensamblados-los-instrumentos-de-la,136,2016-06-01
ensamblados-los-instrumentos-de-la,172,2016-07-01
ensamblados-los-instrumentos-de-la,215,2016-08-01
ensamblados-los-instrumentos-de-la,0,2016-09-01
