programa,2013,2014,2015,2016,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
oficios-curso-de-impresiones-graficas,0,276,361,489,0,0,0,0,0,0,0,0,0,0,0,0,64,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,139,0,0,0,0,90,135,90,0,0,99,165,0,0,0,0,0,0
el-abecedario-de-deleuze,976,482,0,0,0,0,0,0,0,24,0,281,197,85,135,254,105,144,0,59,100,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iguales-y-conectados,1313,0,0,0,0,0,0,0,0,0,0,249,385,332,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
los-osos-en-la-cima-del-mundo,15,60,86,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,34,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el-amazonas-salvaje,0,0,431,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,52,203,75,0,52,0,0,0,0,60,0,0,0,0
ex-esma-retratos-de-una-recuperacion,0,941,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,217,315,271,0,0,0,0,81,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naturaleza-explorada,0,430,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,154,0,0,215,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
especial-vidas-de-sarmiento,0,0,54,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
la-era-de-los-caciques,0,0,1117,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,208,26,0,0,180,254,0,0,0,0,0,0,0,315,340,11,0,0,0
reconstruccion-los-anos-de-san-martin,0,0,193,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,103,27,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
