mes,Juan Carlos Onetti,Jorge Amado,Alain Robbe Grillet,Juan Manuel Fangio,Atahualpa Yupanqui,Antonio Saura,Julio Cortázar,Guillermo Cabrera Infante,Milan Kundera,Richard Nixon,Miguel Delibes,Leopoldo Torre Nilsson,Ennio Morricone,Marcello Mastroianni,Sofía Loren,Franco Zeffirelli,Mario Benedetti,Carmen Martín Gaite...,Alberto Ginastera,Manuel Mujica Lainez,Carlos Saura,Elmyr De Hory,Francisco Ayala,Ernesto Sábato,Madre Teresa de Calcuta,Libertad Lamarque,Federico Fellini,Jorge Luis Borges II,Luis García Berlanga,Antonio Di Benedetto,José Ferrater Mora,Chabuca Granda,Severo Ochoa,Roman Polanski,Arthur Rubinstein,Alejo Carpentier,Gillo Pontecorvo,Manuel Vázquez Montalban,Mario Vargas Llosa,Marguerite Duras,Joan Manuel Serrat,"Joaquín Lavado ""Quino""",Raphael,Jorge Luis Borges I,Mercè Rodoreda,Geraldine Chaplin,Facundo Cabral,Roberto Rossellini,Antonio Skármeta,Otto Preminger,Augusto Roa Bastos,Juan Rulfo,Camilo José Cela,Carlos Fuentes,Manuel Puig,Salvador Dalí,Jorge Semprun
2015-12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
2016-01,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,0
2016-02,0,0,0,0,37,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,116,0,0,0,0,0,0,0,0,0,0,65,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,102,0,102,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,38,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,58,0,0,0,0,27,0,0,0,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,85,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,85,85,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,85,0,0,0,89,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,78,0,0,0,0,85,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,49,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2016-10,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
